state,downstream_hazard_potential,incident_type,incident_date,incident_driver,incident_mechanism_1,incident_mechanism_2,incident_mechanism_3,eap_enacted_y_n_due_to_incident,fatalities_number,number_of_people_evacuated,number_of_habitable_structures_evacuated,number_of_habitable_structures_flooded,other_infrastructure_impacts,economic_damages_in,response,volume_released_at_failure_ac_ft,owner_type,dam_type,primary_purpose_s,eap,dam_height,max_storage_ac_ft,surface_area_acres,year_completed,latitude,longitude,year_modified,incident_time,incident_duration,incident_report_produced
MS,L,Failure,8/30/2022,Hydrologic/Flooding,Animal Activity,Vegetation,Erosion,N,0,0,0,0,0,0,-1,36,L,RE,O,NR,8 ft,96.0,0,-1,32.2595,-90.4113,-1,-1,-1,N
SC,L,Failure,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,10 ft,58.0,11,1955,33.6217,-81.2333,-1,-1,-1,-1
MO,L,Failure,1/1/2008,Structural Stability,Sliding,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,S,RE,R,N,36 ft,117.0,8,1968,37.8231,-90.8224,-1,-1,-1,-1
CO,H,Non-Failure,3/22/2016,Seepage/Internal Erosion,Spillway Pipe Failure,Sinkhole,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,IR,Y,41 ft,85000.0,4105,1904,38.235,-103.281,-1,-1,-1,-1
VA,U,Failure,8/19/2021,Deterioration or Poor Condition,Erosion,Overtopping,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,P,RE,F,N,7 ft,103.7,9,-1,37.2835,-77.2109,-1,-1,-1,-1
MN,-1,Failure,4/24/2018,Hydrologic/Flooding,Animal Activity,Debris Clogging,Overtopping,No,0,0,0,0,Other,"$100,000 to $500,000","Property was abandoned by mining company decades ago and is now owned by state (IRRRB).  Rebuild of trail over $1,000,000.",100,S,OT,O,NR,55 ft,150.0,9,1945,47.541,-92.3108,-1,-1,1 day,Unknown
TX,H,Non-Failure,1/1/1960,Seepage/Internal Erosion,Piping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,CI,N,48 ft,6144.0,30,1960,31.4051,-105.818,-1,-1,-1,-1
TX,H,Non-Failure,1/1/1970,Seepage/Internal Erosion,Piping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,L,RE,CI,N,48 ft,6144.0,30,1960,31.4051,-105.818,-1,-1,-1,-1
CO,H,Non-Failure,7/18/2017,Manmade Action,Other,-1,-1,Yes,-1,-1,-1,-1,-1,-1,"Drill was stopped, the hole was grouted and the situation returned to ""normal"". Reservoir was lowered and an emergency seepage collection system and stability butress were constructed.",-1,S,RE,FR,Y,32 ft,812.0,39,1953,37.4703,-106.766,-1,-1,2 days,Yes
MS,S,Non-Failure,1/21/2015,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,0,1,0,0,-1,-1,-1,-1,P,RE,R,NR,33 ft,1369.0,80,1995,30.9806,-89.6881,-1,-1,-1,-1
MS,S,Non-Failure,3/11/2016,Hydrologic/Flooding,Overtopping,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,P,RE,R,NR,33 ft,1369.0,80,1995,30.9806,-89.6881,-1,5:00 AM,-1,-1
MS,L,Non-Failure,4/5/2021,Hydrologic/Flooding,-1,-1,-1,N,0,0,0,0,0,0,"Directed owner to clear debris, repair erosion.",0,P,RE,R,NR,33 ft,1369.0,80,1995,30.9822,-89.6875,-1,-1,-1,N
VA,U,Non-Failure,5/17/2018,Unknown,Spillway Erosion/Head Cutting,-1,-1,No,0,-1,-1,-1,-1,-1,-1,-1,P,RE,R,N,24 ft,91.5,9,-1,37.5636,-78.403,-1,-1,-1,-1
IN,L,Non-Failure,5/8/2013,Deterioration or Poor Condition,Spillway Pipe Failure,Sinkhole,-1,No,-1,0,-1,-1,-1,-1,-1,-1,P,RE,R,N,32 ft,135.0,8,1981,39.4039,-86.1231,-1,-1,-1,-1
SD,L,Non-Failure,1/1/2019,Hydrologic/Flooding,Spillway Chute Failure,Slope Stability,-1,No,0,unknown,unknown,unknown,Roads,-1,Owner did some stabilization work on sloughing and hired an engineering consultant to do additional analysis,-1,S,RE,CR,NR,36 ft,2150.0,46,1954,43.44,-96.6083,1994,-1,-1,-1
TX,L,Failure,5/27/2016,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,R,NR,26 ft,1883.0,0,1959,30.8889,-94.4003,1996,-1,-1,-1
TX,L,Non-Failure,8/3/2007,Unknown,Spillway Deficiency,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,P,RE,-1,NR,20 ft,134.0,5,1987,30.9145,-97.1999,-1,-1,-1,-1
NC,-1,Failure,1/1/2008,Hydrologic/Flooding,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CT,-1,Failure,5/28/1912,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,H,Non-Failure,2/1/1972,Malfunction of Equipment/Gate,Gate/Valve Failure,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,F,CN,CI,Y,23 ft,16400.0,1287,1960,26.137,-98.334,-1,-1,-1,-1
