state,downstream_hazard_potential,incident_date,incident_driver,incident_mechanism_1,incident_mechanism_2,incident_mechanism_3,eap_enacted_y_n_due_to_incident,owner_type,dam_type,primary_purpose_s,eap,dam_height,max_storage_ac_ft,surface_area_acres,year_completed,latitude,longitude,year_modified,incident_time,incident_duration,incident_report_produced
MS,L,8/30/2022,Hydrologic/Flooding,Animal Activity,Vegetation,Erosion,N,L,RE,O,NR,8 ft,96.0,0,-1,32.2595,-90.4113,-1,-1,-1,N
SC,L,10/4/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,N,10 ft,58.0,11,1955,33.6217,-81.2333,-1,-1,-1,-1
MO,L,1/1/2008,Structural Stability,Sliding,-1,-1,No,S,RE,R,N,36 ft,117.0,8,1968,37.8231,-90.8224,-1,-1,-1,-1
CO,H,3/22/2016,Seepage/Internal Erosion,Spillway Pipe Failure,Sinkhole,-1,Yes,P,RE,IR,Y,41 ft,85000.0,4105,1904,38.235,-103.281,-1,-1,-1,-1
VA,U,8/19/2021,Deterioration or Poor Condition,Erosion,Overtopping,-1,-1,P,RE,F,N,7 ft,103.7,9,-1,37.2835,-77.2109,-1,-1,-1,-1
MN,-1,4/24/2018,Hydrologic/Flooding,Animal Activity,Debris Clogging,Overtopping,No,S,OT,O,NR,55 ft,150.0,9,1945,47.541,-92.3108,-1,-1,1 day,Unknown
TX,H,1/1/1960,Seepage/Internal Erosion,Piping,-1,-1,-1,L,RE,CI,N,48 ft,6144.0,30,1960,31.4051,-105.818,-1,-1,-1,-1
TX,H,1/1/1970,Seepage/Internal Erosion,Piping,-1,-1,-1,L,RE,CI,N,48 ft,6144.0,30,1960,31.4051,-105.818,-1,-1,-1,-1
CO,H,7/18/2017,Manmade Action,Other,-1,-1,Yes,S,RE,FR,Y,32 ft,812.0,39,1953,37.4703,-106.766,-1,-1,2 days,Yes
MS,S,1/21/2015,Deterioration or Poor Condition,Spillway Pipe Failure,-1,-1,No,P,RE,R,NR,33 ft,1369.0,80,1995,30.9806,-89.6881,-1,-1,-1,-1
MS,S,3/11/2016,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,NR,33 ft,1369.0,80,1995,30.9806,-89.6881,-1,5:00 AM,-1,-1
MS,L,4/5/2021,Hydrologic/Flooding,-1,-1,-1,N,P,RE,R,NR,33 ft,1369.0,80,1995,30.9822,-89.6875,-1,-1,-1,N
VA,U,5/17/2018,Unknown,Spillway Erosion/Head Cutting,-1,-1,No,P,RE,R,N,24 ft,91.5,9,-1,37.5636,-78.403,-1,-1,-1,-1
IN,L,5/8/2013,Deterioration or Poor Condition,Spillway Pipe Failure,Sinkhole,-1,No,P,RE,R,N,32 ft,135.0,8,1981,39.4039,-86.1231,-1,-1,-1,-1
SD,L,1/1/2019,Hydrologic/Flooding,Spillway Chute Failure,Slope Stability,-1,No,S,RE,CR,NR,36 ft,2150.0,46,1954,43.44,-96.6083,1994,-1,-1,-1
TX,L,5/27/2016,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,NR,26 ft,1883.0,0,1959,30.8889,-94.4003,1996,-1,-1,-1
TX,L,8/3/2007,Unknown,Spillway Deficiency,-1,-1,-1,P,RE,-1,NR,20 ft,134.0,5,1987,30.9145,-97.1999,-1,-1,-1,-1
NC,-1,1/1/2008,Hydrologic/Flooding,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CT,-1,5/28/1912,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,H,2/1/1972,Malfunction of Equipment/Gate,Gate/Valve Failure,-1,-1,-1,F,CN,CI,Y,23 ft,16400.0,1287,1960,26.137,-98.334,-1,-1,-1,-1
CO,S,9/13/2013,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,Y,23 ft,45.0,4,1974,39.6057,-104.874,-1,-1,-1,-1
TX,S,8/29/2017,Hydrologic/Flooding,Overtopping,Animal Activity,-1,-1,P,RE,-1,N,16 ft,47.0,0,1800,30.7896,-95.5282,-1,-1,-1,-1
TX,L,8/29/2017,Hydrologic/Flooding,Sliding,-1,-1,-1,P,RE,I,NR,7 ft,1330.0,0,1960,26.3531,-97.4907,-1,-1,-1,-1
NC,H,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,L,RE,R,N,21 ft,144.0,0,-1,35.029,-78.981,-1,-1,1 day,-1
PA,H,4/26/1994,Seepage/Internal Erosion,Piping,-1,-1,No,P,RE,R,Y,18 ft,2344.0,218,1954,41.1536,-75.5775,2002,-1,-1,-1
MA,-1,1/7/1909,Seepage/Internal Erosion,Piping,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
NH,S,7/30/2021,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,L,RE,R,Y,13 ft,3588.0,360,1872,43.1507,-72.1569,1925,-1,1 day,-1
CO,S,9/20/2013,Hydrologic/Flooding,Overtopping,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,L,5/11/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,NR,28 ft,1419.0,100,1920,32.2346,-95.7774,-1,-1,-1,-1
NE,L,6/12/2010,Hydrologic/Flooding,Overtopping,-1,-1,No,L,RE,R,NR,13 ft,360.0,19,1992,42.5379,-99.0005,-1,-1,-1,-1
CA,H,4/2/2018,Hydrologic/Flooding,Insufficient Spillway Capacity,Overtopping,-1,No,P,RE,S,N,17 ft,94.0,8,0,37.0676,-119.49,-1,-1,1 day,Yes
PA,S,3/5/2018,Hydrologic/Flooding,Overtopping,Erosion,-1,No,P,RE,R,N,14 ft,10.0,0,-1,39.9511,-80.1628,-1,-1,-1,-1
TX,-1,4/6/1900,Structural Stability,Slope Stability,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,H,5/2/2024,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,Yes,P,RE,R,N,20 ft,56.0,7,-1,30.6786,-95.5375,-1,-1,-1,Yes
CA,-1,12/14/1963,Seepage/Internal Erosion,Piping,-1,-1,No,-1,RE,-1,-1,232 ft,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CO,L,4/29/2015,Seepage/Internal Erosion,Piping,Vegetation,-1,-1,S,RE,FR,NR,13 ft,112.0,16,1960,40.0784,-104.564,2002,-1,-1,-1
VA,-1,6/21/1972,Hydrologic/Flooding,Overtopping,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
CO,H,9/13/2013,Hydrologic/Flooding,High Reservoir Level,-1,-1,-1,L,RE,IS,Y,50 ft,3005.0,108,1923,40.6,-105.836,-1,-1,-1,-1
TX,L,5/8/1986,Seepage/Internal Erosion,Piping,-1,-1,-1,P,RE,O,NR,20 ft,11400.0,0,1973,27.6267,-97.3483,-1,-1,-1,-1
MD,L,7/14/2016,Malfunction of Equipment/Gate,Gate/Valve Failure,Overtopping,-1,No,P,RE,R,NR,9 ft,90.0,14,-1,38.4617,-75.735,1979,-1,-1,-1
NJ,L,8/1/2011,Seepage/Internal Erosion,Piping,-1,-1,No,P,PGRE,R,N,15 ft,59.0,20,1955,41.1969,-74.4412,-1,12:00 AM,-1,-1
TX,L,6/13/1973,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,NR,20 ft,214.0,8,1955,30.3715,-95.3387,-1,-1,-1,-1
NY,S,5/6/2018,Seepage/Internal Erosion,Cracking,Excessive/Increased Seepage,Sinkhole,Yes,P,CNOT,OR,Y,17 ft,70924.0,5066,1915,44.2506,-74.2942,-1,-1,3 days,Yes
NY,L,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,L,RE,S,N,14 ft,1447.0,70,1918,44.1,-73.5117,-1,-1,-1,-1
CO,H,9/12/2013,Hydrologic/Flooding,Unknown,-1,-1,-1,P,RE,IS,Y,44 ft,6592.0,270,1905,39.9986,-105.198,-1,-1,-1,-1
CO,H,9/12/2013,Structural Stability,Slope Stability,-1,-1,-1,P,RE,IS,Y,20 ft,6592.0,270,1905,40.0028,-105.206,-1,-1,-1,-1
TX,L,8/17/1984,Unknown,Unknown,-1,-1,-1,P,RE,T,NR,30 ft,750.0,35,1974,32.0011,-95.9015,1986,-1,-1,-1
TX,L,5/23/2015,Hydrologic/Flooding,Overtopping,-1,-1,-1,S,RE,R,NR,18 ft,110.0,0,1913,30.1124,-97.277,1935,-1,-1,Yes
NY,H,8/28/2011,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,No,L,RE,C,Y,74 ft,1415.0,5,1970,42.3211,-74.2325,-1,-1,-1,-1
NY,H,8/28/2011,Hydrologic/Flooding,Spillway Erosion/Head Cutting,-1,-1,-1,L,RE,C,Y,77 ft,2928.0,10,1967,42.3322,-74.2478,2013,-1,-1,-1
TX,L,5/10/2009,Deterioration or Poor Condition,Spillway Riser Failure,-1,-1,No,L,RE,IR,NR,32 ft,916.0,30,1908,31.548,-96.901,-1,-1,-1,-1
SC,S,9/16/2018,Hydrologic/Flooding,Overtopping,Erosion,-1,No,P,RE,R,Y,7 ft,141.0,22,1953,34.1114,-79.3352,-1,-1,-1,-1
SC,S,10/8/2016,Hydrologic/Flooding,Unknown,-1,-1,No,P,RE,R,Y,13 ft,141.0,22,1953,34.1117,-79.335,-1,-1,3 Days,No
PA,-1,9/30/1911,Unknown,Unknown,-1,-1,No,-1,-1,-1,-1,-1,-1.0,0,-1,0.0,0.0,-1,-1,-1,-1
TX,H,1/1/1989,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,N,27 ft,3207.0,0,1964,30.4819,-94.7734,-1,-1,-1,-1
TX,H,6/26/1986,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,R,N,27 ft,3207.0,0,1964,30.4819,-94.7734,-1,-1,-1,-1
TX,H,10/17/1994,Unknown,Spillway Erosion/Head Cutting,-1,-1,-1,P,RE,R,N,27 ft,3207.0,0,1964,30.4819,-94.7734,-1,-1,-1,-1
VA,S,8/6/2014,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,-1,-1,N,33 ft,139.0,0,-1,37.5078,-77.5312,-1,-1,-1,-1
VA,H,5/21/2018,Hydrologic/Flooding,Spillway Chute Failure,-1,-1,No,L,RE,S,Y,71 ft,6603.0,206,-1,36.7433,-79.875,-1,-1,-1,-1
CO,H,3/18/2016,Seepage/Internal Erosion,Sinkhole,-1,-1,Yes,S,ER,RFIO,Y,114 ft,5800.0,94,1912,37.5961,-106.667,-1,-1,-1,-1
WI,S,8/23/2019,Malfunction of Equipment/Gate,Other,-1,-1,Yes,S,PGRE,R,Y,21 ft,800.0,73,1965,42.5819,-89.7745,-1,-1,3 days,No
IA,S,10/11/2018,Deterioration or Poor Condition,Piping,Erosion,Spillway Pipe Failure,No,L,RE,S,NR,44 ft,598.0,30,1969,40.6822,-94.7127,-1,-1,-1,-1
IA,S,10/11/2018,Deterioration or Poor Condition,Spillway Pipe Failure,Piping,-1,-1,L,RE,S,NR,44 ft,598.0,30,1969,40.6822,-94.7127,-1,-1,-1,-1
WI,L,8/20/2018,Hydrologic/Flooding,Erosion,Excessive/Increased Seepage,-1,Yes,L,PGRE,R,Y,15 ft,260.0,112,1860,42.8605,-89.5358,1918,-1,-1,Unknown
CO,S,5/1/2017,Deterioration or Poor Condition,Piping,Sinkhole,-1,No,P,RE,IP,Y,30 ft,647.0,30,1912,37.8136,-108.353,-1,-1,-1,No
NY,S,8/28/2011,Hydrologic/Flooding,Overtopping,-1,-1,No,P,OTRE,R,N,20 ft,210.0,26,1900,42.745,-74.7603,-1,-1,-1,-1
NC,H,10/8/2016,Hydrologic/Flooding,Overtopping,-1,-1,No,X,RE,F,N,6 ft,-1.0,0,-1,35.0773,-77.9099,-1,-1,1 day,-1
MS,L,2/28/2020,Hydrologic/Flooding,Overtopping,Insufficient Spillway Capacity,-1,Y,P,RE,R,N,17 ft,98.0,7,-1,34.1555,-88.4259,-1,-1,-1,Y
KY,L,6/17/2018,Seepage/Internal Erosion,Piping,-1,-1,-1,S,RE,R,Y,70 ft,218.0,9,1971,38.8845,-84.7429,-1,-1,-1,Yes
TX,H,12/27/2015,Hydrologic/Flooding,Erosion,-1,-1,-1,L,RE,S,N,38 ft,6625.0,15,1987,33.3924,-95.6941,2001,-1,-1,-1
PA,S,3/28/2011,Seepage/Internal Erosion,Excessive/Increased Seepage,-1,-1,No,P,MSREST,RS,Y,12 ft,740.0,79,1860,41.7528,-75.9547,2006,-1,2 DAYS,-1
PA,S,6/26/2006,Hydrologic/Flooding,Overtopping,Erosion,-1,Yes,P,MSREST,RS,Y,12 ft,740.0,79,1860,41.7528,-75.9547,2006,-1,3 DAYS,-1
PA,S,9/8/2011,Hydrologic/Flooding,High Reservoir Level,-1,-1,Yes,P,MSREST,RS,Y,12 ft,740.0,79,1860,41.7528,-75.9547,2006,-1,1 DAY,-1
TX,S,9/27/1996,Hydrologic/Flooding,Overtopping,-1,-1,-1,P,RE,ISR,Y,21 ft,357.0,22,1949,30.6938,-94.423,1997,-1,-1,-1
MD,L,9/30/2016,Hydrologic/Flooding,Unknown,-1,-1,No,L,RE,RFP,NR,9 ft,72.0,60,1900,38.0156,-75.4561,-1,-1,-1,-1
