dam_name,incident_id,incident_description,named_hydrologic_event,additional_remarks_or_updates,nid_number,river_name,regulatory_agency_ies,information_sources,attachments
"MS01762-3466"">RAYMOND SEWAGE LAGOON DAM",MS01762-3466,Erosion of backslope due to tailwater conditions and animal activity.  Breached area appeared to be a collapsed animal den.,-1,-1,MS01762,-1,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,MDEQ Dam Safety,-1
ABLE/COBETT POND DAM,SC00370-2617,Heavy rains-as much as 16 inches caused several dams to overtop and fail.,-1,-1,SC00370,LITTLE HOLLOW CREEK,SCDHEC,SC DHEC Website,-1
ABNEY LAKE DAM,MO30695-166,test,-1,"Small rotational slide on downstream face. Width of slide approximately 30	 feet. Vertical displacement approximately 4 feet. REPORTED MAY 21, 2008",MO30695,TR-CLEAR CREEK,DAM AND RESERVOIR SAFETY PROG,-1,-1
ADOBE CREEK,CO00515-3015,"New active seepage along an outlet conduit, creating voids where none were before.",-1,"EAP level 1 activation, owner contracted with their engineer and a contractor to make emergency reverse filter repairs.",CO00515,ADOBE CREEK-OS,DWR,CO DWR,-1
Afton Drive/Chappell Creek Dam,VA149027-3496,-1,-1,-1,VA149027,Chappell Creek,DEPARTMENT OF CONSERVATION AND RECREATION,-1,-1
AJAX-HECTOR MINE POND,MN00000-3262,"Tributary stream meandered into abandoned mine pit during spring snowmelt causing partially filled mine pit to completely fill and overtop natural earth embankment.  Embankment failed, draining pit into the Embarass River and causing damage to utilities and water quality issues on Embarass Lake.",-1,"The ""dam"" is a 250 foot section of natural ground between an excavation related to the mine pit and an excavation related to the diversion channel of the Embarrass River. Damage to Utility (power, telephone, water supply and sewer) lines severed.  Tailings and raw sewage from severed sewer line entered lake downstream of embankment failure.  Paved trail washed out.",MN00000,OS TRIBUTARY TO THE EMBARRASS RIVER DIVERSION,MNDNR,MNDNR,-1
ALAMO ARROYO WS SCS SITE 2 DAM,TX01949-2834,PIPING,-1,-1,TX01949,ALAMO ARROYO,N,TX DEQ,-1
ALAMO ARROYO WS SCS SITE 2 DAM,TX01949-2824,PIPING,-1,-1,TX01949,ALAMO ARROYO,N,TX DEQ,-1
ALBERTA PARK,CO00762-3171,While drilling in the embankment with hollow stem augers an apparent connection was made with a pervious seam and elevated pressures associated with the drilling process caused a surge of muddy seepage and an increase in volume of seepage from a know exit point.,-1,developed a plan to install a filter and butress,CO00762,PASS CREEK-TR,DWR,CO DWR,-1
ALBRITTON LAKE DAM,MS03326-2601,FAILURE OF THE PRIMARY SPILLWAY (CMP) THAT WAS PREVIOUSLY FILLED WITH CONCRETE,-1,INCIDENT WAS SUCCESSFULLY HANDLED. A 20. FT WIDE CUT WAS MADE TO ACT AS THE PRIMARY SPILLWAY. HOA WAS ADVISED TO KEEP THE LAKE LEVEL LOWER UNTIL REPAIRS ARE MADE OR THE DAM IS BREACHED,MS03326,TR. MILL CREEK,MS Dept. of Environmental Quality,-1,-1
