state,downstream_hazard_potential,incident_driver,owner_type,dam_type,primary_purpose_s,eap,dam_height,max_storage_ac_ft,surface_area_acres,year_completed,latitude,longitude,year_modified,incident_date_year,incident_date_month,incident_date_day,incident_time_year,incident_time_month,incident_time_day,incident_time_hour,number_of_people_evacuated,number_of_habitable_structures_evacuated,number_of_habitable_structures_flooded,volume_released_at_failure_ac_ft,incident_duration
0,0,0,0,0,0,0,8,96,0,-1,32.2595,-90.4113,-1,1970,1,1,1970,1,1,0,0,0,0,0,0
1,0,0,1,0,1,1,10,58,11,1955,33.6217,-81.2333,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
2,0,1,2,0,1,1,36,117,8,1968,37.8231,-90.8224,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,1,2,1,0,2,2,41,85000,4105,1904,38.235,-103.281,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
4,2,3,1,0,3,1,7,103.7,9,-1,37.2835,-77.2109,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
5,3,0,2,1,0,0,55,150,9,1945,47.541,-92.3108,-1,1970,1,1,1970,1,1,0,0,0,0,2,1
6,1,2,0,0,4,1,48,6144,30,1960,31.4051,-105.818,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,2,0,0,4,1,48,6144,30,1960,31.4051,-105.818,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,1,4,2,0,5,2,32,812,39,1953,37.4703,-106.766,-1,1970,1,1,1970,1,1,0,1,1,1,1,2
0,4,3,1,0,1,0,33,1369,80,1995,30.9806,-89.6881,-1,1970,1,1,1970,1,1,0,2,0,0,1,0
0,4,0,1,0,1,0,33,1369,80,1995,30.9806,-89.6881,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
0,0,0,1,0,1,0,33,1369,80,1995,30.9822,-89.6875,-1,1970,1,1,1970,1,1,0,0,0,0,3,0
4,2,5,1,0,1,1,24,91.5,9,-1,37.5636,-78.403,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
7,0,3,1,0,1,1,32,135,8,1981,39.4039,-86.1231,-1,1970,1,1,1970,1,1,0,0,1,1,1,0
8,0,0,2,0,6,0,36,2150,46,1954,43.44,-96.6083,1994,1970,1,1,1970,1,1,0,3,2,2,1,0
6,0,0,1,0,1,0,26,1883,0,1959,30.8889,-94.4003,1996,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,5,1,0,7,0,20,134,5,1987,30.9145,-97.1999,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
9,3,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
10,3,5,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,6,4,3,4,2,23,16400,1287,1960,26.137,-98.334,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,4,0,1,0,1,2,23,45,4,1974,39.6057,-104.874,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,4,0,1,0,7,1,16,47,0,1800,30.7896,-95.5282,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,1,0,8,0,7,1330,0,1960,26.3531,-97.4907,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
9,1,0,0,0,1,1,21,144,0,-1,35.029,-78.981,-1,1970,1,1,1970,1,1,0,1,0,1,1,1
11,1,2,1,0,1,2,18,2344,218,1954,41.1536,-75.5775,2002,1970,1,1,1970,1,1,0,0,0,0,1,0
12,3,2,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
13,4,0,0,0,1,2,13,3588,360,1872,43.1507,-72.1569,1925,1970,1,1,1970,1,1,0,2,0,0,1,1
3,4,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,1,0,1,0,28,1419,100,1920,32.2346,-95.7774,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
14,0,0,0,0,1,0,13,360,19,1992,42.5379,-99.0005,-1,1970,1,1,1970,1,1,0,0,1,0,3,0
15,1,0,1,0,9,1,17,94,8,0,37.0676,-119.49,-1,1970,1,1,1970,1,1,0,0,0,0,1,1
11,4,0,1,0,1,1,14,10,0,-1,39.9511,-80.1628,-1,1970,1,1,1970,1,1,0,0,1,1,1,0
6,3,1,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,0,1,0,1,1,20,56,7,-1,30.6786,-95.5375,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
15,3,2,3,0,7,3,232,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,4,1,1,1,0
3,0,2,2,0,5,0,13,112,16,1960,40.0784,-104.564,2002,1970,1,1,1970,1,1,0,1,1,1,1,0
4,3,0,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,1,0,0,0,10,2,50,3005,108,1923,40.6,-105.836,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,2,1,0,0,0,20,11400,0,1973,27.6267,-97.3483,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
16,0,6,1,0,1,0,9,90,14,-1,38.4617,-75.735,1979,1970,1,1,1970,1,1,0,1,1,1,1,0
17,0,2,1,4,1,1,15,59,20,1955,41.1969,-74.4412,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
6,0,0,1,0,1,0,20,214,8,1955,30.3715,-95.3387,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
18,4,2,1,5,11,2,17,70924,5066,1915,44.2506,-74.2942,-1,1970,1,1,1970,1,1,0,0,0,0,1,3
18,0,0,0,0,9,1,14,1447,70,1918,44.1,-73.5117,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,1,0,1,0,10,2,44,6592,270,1905,39.9986,-105.198,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,1,1,1,0,10,2,20,6592,270,1905,40.0028,-105.206,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,5,1,0,12,0,30,750,35,1974,32.0011,-95.9015,1986,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,0,2,0,1,0,18,110,0,1913,30.1124,-97.277,1935,1970,1,1,1970,1,1,0,0,0,0,1,0
18,1,0,0,0,13,2,74,1415,5,1970,42.3211,-74.2325,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
18,1,0,0,0,13,2,77,2928,10,1967,42.3322,-74.2478,2013,1970,1,1,1970,1,1,0,1,1,1,1,0
6,0,3,0,0,2,0,32,916,30,1908,31.548,-96.901,-1,1970,1,1,1970,1,1,0,0,1,0,1,0
1,4,0,1,0,1,2,7,141,22,1953,34.1114,-79.3352,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
1,4,0,1,0,1,2,13,141,22,1953,34.1117,-79.335,-1,1970,1,1,1970,1,1,0,0,0,0,1,4
11,3,5,3,2,7,3,1,-1,0,-1,0,0,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,0,1,0,1,1,27,3207,0,1964,30.4819,-94.7734,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,0,1,0,1,1,27,3207,0,1964,30.4819,-94.7734,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
6,1,5,1,0,1,1,27,3207,0,1964,30.4819,-94.7734,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
4,4,0,1,2,7,1,33,139,0,-1,37.5078,-77.5312,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
4,1,0,0,0,9,2,71,6603,206,-1,36.7433,-79.875,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
3,1,2,2,6,14,2,114,5800,94,1912,37.5961,-106.667,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
19,4,6,2,4,1,2,21,800,73,1965,42.5819,-89.7745,-1,1970,1,1,1970,1,1,0,0,0,0,1,3
20,4,3,0,0,9,0,44,598,30,1969,40.6822,-94.7127,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
20,4,3,0,0,9,0,44,598,30,1969,40.6822,-94.7127,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
19,0,0,0,4,1,2,15,260,112,1860,42.8605,-89.5358,1918,1970,1,1,1970,1,1,0,5,3,3,1,0
3,4,3,1,0,15,2,30,647,30,1912,37.8136,-108.353,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
18,4,0,1,7,1,1,20,210,26,1900,42.745,-74.7603,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
9,1,0,5,0,3,1,6,-1,0,-1,35.0773,-77.9099,-1,1970,1,1,1970,1,1,0,1,1,1,1,1
0,0,0,1,0,1,1,17,98,7,-1,34.1555,-88.4259,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
21,0,2,2,0,1,2,70,218,9,1971,38.8845,-84.7429,-1,1970,1,1,1970,1,1,0,0,0,0,1,0
6,1,0,0,0,9,1,38,6625,15,1987,33.3924,-95.6941,2001,1970,1,1,1970,1,1,0,1,1,1,1,0
11,4,2,1,8,16,2,12,740,79,1860,41.7528,-75.9547,2006,1970,1,1,1970,1,1,0,0,0,1,1,5
11,4,0,1,8,16,2,12,740,79,1860,41.7528,-75.9547,2006,1970,1,1,1970,1,1,0,6,4,0,1,6
11,4,0,1,8,16,2,12,740,79,1860,41.7528,-75.9547,2006,1970,1,1,1970,1,1,0,6,4,0,1,7
6,4,0,1,0,17,2,21,357,22,1949,30.6938,-94.423,1997,1970,1,1,1970,1,1,0,1,1,1,1,0
16,0,0,0,0,18,0,9,72,60,1900,38.0156,-75.4561,-1,1970,1,1,1970,1,1,0,1,1,1,1,0
